PO Number,Order Date,Supplier,Supplier Country,Item No,Item Description,Qty Ordered,Unit Cost,Freight,Duty,Landed Cost,Currency,Ship To,Promised Date,Received Date,Qty Received
PO-202412-0133,2024-12-20,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1084,4.01,0.31,0.50,4.82,USD,100571,2025-02-11,2025-02-14,1084
PO-202412-0134,2024-12-20,Pacific Rim Tooling,Vietnam,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,79,86.37,7.00,5.35,98.72,USD,100649,2025-01-27,2025-01-25,79
PO-202412-0135,2024-12-22,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2054,1.56,0.13,0.09,1.78,USD,100205,2025-03-05,2025-03-03,2054
PO-202412-0136,2024-12-22,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,553,10.89,0.56,0.29,11.74,USD,100959,2025-01-19,2025-01-17,553
PO-202412-0137,2024-12-23,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,421,7.14,0.60,0.41,8.15,USD,100959,2025-03-06,2025-03-06,421
PO-202412-0138,2024-12-23,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,8,1463.70,35.13,0.00,1498.83,USD,100349,2025-01-31,2025-01-29,8
PO-202412-0139,2024-12-25,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2647,1.51,0.13,0.09,1.73,USD,100349,2025-03-08,2025-03-08,2647
PO-202412-0140,2024-12-25,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1465,3.96,0.31,0.50,4.77,USD,100205,2025-02-16,2025-02-14,1465
PO-202501-0141,2025-01-01,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,67,63.77,0.00,0.00,63.77,USD,100349,2025-02-13,2025-02-10,64
PO-202501-0142,2025-01-01,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),184,76.81,6.22,4.76,87.79,USD,100933,2025-02-08,2025-02-05,184
PO-202501-0143,2025-01-02,Anhui Precision Fittings,China,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),111,23.19,1.81,2.90,27.90,USD,100959,2025-02-24,2025-02-28,111
PO-202501-0144,2025-01-04,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1313,6.85,0.16,0.00,7.01,USD,100959,2025-02-12,2025-02-09,1313
PO-202501-0145,2025-01-04,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,72,66.44,0.00,0.00,66.44,USD,100571,2025-02-16,2025-02-15,72
PO-202501-0146,2025-01-05,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,148,101.36,0.00,0.00,101.36,USD,100933,2025-01-24,2025-01-23,148
PO-202501-0147,2025-01-05,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,19,499.70,11.99,0.00,511.69,USD,100933,2025-02-13,2025-02-12,19
PO-202501-0148,2025-01-06,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,453,18.93,0.00,0.00,18.93,USD,100649,2025-01-23,2025-01-23,453
PO-202501-0149,2025-01-06,Anhui Precision Fittings,China,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1737,1.43,0.11,0.18,1.72,USD,100959,2025-02-28,2025-02-25,1737
PO-202501-0150,2025-01-07,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,9,285.34,0.00,0.00,285.34,USD,100933,2025-01-24,2025-01-31,9
PO-202501-0151,2025-01-07,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1450,4.70,0.00,0.00,4.70,USD,100649,2025-02-19,2025-02-18,1450
PO-202501-0152,2025-01-10,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,547,7.19,0.60,0.42,8.21,USD,100205,2025-03-24,2025-03-22,547
PO-202501-0153,2025-01-11,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,416,19.14,0.00,0.00,19.14,USD,100933,2025-01-28,2025-02-03,416
PO-202501-0154,2025-01-14,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),162,74.58,6.04,4.62,85.24,USD,100812,2025-02-21,2025-02-18,162
PO-202501-0155,2025-01-15,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,10,1476.15,35.43,0.00,1511.58,USD,100205,2025-02-23,2025-02-20,10
PO-202501-0156,2025-01-16,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2388,2.36,0.00,0.00,2.36,USD,100205,2025-02-04,2025-02-08,2388
PO-202501-0157,2025-01-16,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,398,11.04,0.56,0.30,11.90,USD,100959,2025-02-13,2025-02-12,398
PO-202501-0158,2025-01-16,Kotara Steel Products,India,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),7,542.52,45.57,31.47,619.56,USD,100959,2025-03-30,2025-03-27,7
PO-202501-0159,2025-01-17,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,13,513.65,12.33,0.00,525.98,USD,100117,2025-02-25,2025-03-08,13
PO-202501-0160,2025-01-18,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,3103,1.55,0.13,0.09,1.77,USD,100117,2025-04-01,2025-03-29,3103
PO-202501-0161,2025-01-18,Anhui Precision Fittings,China,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2013,2.02,0.16,0.25,2.43,USD,100117,2025-03-12,2025-03-16,2013
PO-202501-0162,2025-01-18,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,405,10.84,0.55,0.29,11.68,USD,100349,2025-02-15,2025-02-12,405
PO-202501-0163,2025-01-19,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,7,293.54,0.00,0.00,293.54,USD,100959,2025-02-05,2025-02-16,7
PO-202501-0164,2025-01-19,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1353,7.10,0.00,0.00,7.10,USD,100205,2025-03-03,2025-03-07,1353
PO-202501-0165,2025-01-20,Anhui Precision Fittings,China,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,13,244.89,19.10,30.61,294.60,USD,100349,2025-03-14,2025-03-14,13
PO-202501-0166,2025-01-22,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1536,6.90,0.00,0.00,6.90,USD,100812,2025-03-06,2025-03-06,1536
PO-202501-0167,2025-01-22,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,624,10.94,0.56,0.30,11.80,USD,100933,2025-02-19,2025-02-17,624
PO-202501-0168,2025-01-22,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),8,562.81,28.70,15.20,606.71,USD,100649,2025-02-19,2025-02-23,8
PO-202501-0169,2025-01-23,Kotara Steel Products,India,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),4,551.89,46.36,32.01,630.26,USD,100047,2025-04-06,2025-04-10,4
PO-202501-0170,2025-01-24,Thermaline Systems,Mexico,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2405,1.69,0.04,0.00,1.73,USD,100933,2025-03-04,2025-03-02,2405
PO-202501-0171,2025-01-24,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),152,76.52,6.20,4.74,87.46,USD,100649,2025-03-03,2025-03-13,147
PO-202501-0172,2025-01-25,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,92,64.34,1.54,0.00,65.88,USD,100205,2025-03-05,2025-03-08,92
PO-202502-0173,2025-02-02,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,98,97.32,0.00,0.00,97.32,USD,100117,2025-02-21,2025-02-20,98
PO-202502-0174,2025-02-04,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2238,1.55,0.13,0.09,1.77,USD,100649,2025-04-18,2025-04-17,2238
PO-202502-0175,2025-02-04,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1580,3.90,0.30,0.49,4.69,USD,100649,2025-03-29,2025-03-26,1355
PO-202502-0176,2025-02-04,Anhui Precision Fittings,China,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,495,6.94,0.54,0.87,8.35,USD,100649,2025-03-29,2025-03-26,495
PO-202502-0177,2025-02-06,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,11,1450.57,34.81,0.00,1485.38,USD,100959,2025-03-17,2025-03-16,11
PO-202502-0178,2025-02-09,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,534,10.64,0.54,0.29,11.47,USD,100812,2025-03-09,2025-03-07,534
PO-202502-0179,2025-02-10,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,18,507.98,12.19,0.00,520.17,USD,100812,2025-03-21,2025-03-21,18
PO-202502-0180,2025-02-10,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,3157,2.38,0.00,0.00,2.38,USD,100649,2025-03-01,2025-03-01,3157
PO-202502-0181,2025-02-11,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,11,289.03,0.00,0.00,289.03,USD,100047,2025-02-28,2025-02-28,11
PO-202502-0182,2025-02-11,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1716,7.16,0.00,0.00,7.16,USD,100349,2025-03-26,2025-04-06,1716
PO-202502-0183,2025-02-11,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,560,7.24,0.61,0.42,8.27,USD,100205,2025-04-25,2025-04-25,560
PO-202502-0184,2025-02-12,Thermaline Systems,Mexico,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2340,1.76,0.04,0.00,1.80,USD,100933,2025-03-23,2025-03-29,2340
PO-202502-0185,2025-02-13,Nordflow Valve Works,Germany,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),128,26.71,1.36,0.72,28.79,USD,100649,2025-03-13,2025-03-11,128
PO-202502-0186,2025-02-14,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,10,459.29,38.58,26.64,524.51,USD,100933,2025-04-28,2025-04-26,10
PO-202502-0187,2025-02-15,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,523,7.32,0.61,0.42,8.35,USD,100117,2025-04-29,2025-04-26,523
PO-202502-0188,2025-02-15,Kotara Steel Products,India,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),5,557.06,46.79,32.31,636.16,USD,100933,2025-04-29,2025-05-04,5
PO-202502-0189,2025-02-15,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),3,575.35,29.34,15.53,620.22,USD,100571,2025-03-15,2025-03-14,3
PO-202502-0190,2025-02-15,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),167,75.17,6.09,4.66,85.92,USD,100812,2025-03-25,2025-03-28,167
PO-202502-0191,2025-02-16,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,572,19.41,0.00,0.00,19.41,USD,100649,2025-03-05,2025-03-10,572
PO-202502-0192,2025-02-18,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,8,1338.25,108.40,82.97,1529.62,USD,100571,2025-03-28,2025-04-06,8
PO-202502-0193,2025-02-20,Thermaline Systems,Mexico,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1755,1.75,0.04,0.00,1.79,USD,100205,2025-03-31,2025-03-29,1755
PO-202502-0194,2025-02-21,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1750,6.74,0.16,0.00,6.90,USD,100959,2025-04-01,2025-04-01,1750
PO-202502-0195,2025-02-21,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,118,63.95,1.53,0.00,65.48,USD,100117,2025-04-01,2025-04-01,118
PO-202502-0196,2025-02-24,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),2,567.99,28.97,15.34,612.30,USD,100117,2025-03-24,2025-03-28,2
PO-202502-0197,2025-02-25,Anhui Precision Fittings,China,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,101,83.33,6.50,10.42,100.25,USD,100571,2025-04-19,2025-04-23,101
PO-202503-0198,2025-03-01,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,557,19.98,0.00,0.00,19.98,USD,100571,2025-03-18,2025-03-17,557
PO-202503-0199,2025-03-01,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),140,77.47,6.28,4.80,88.55,USD,100959,2025-04-08,2025-04-12,140
PO-202503-0200,2025-03-01,Thermaline Systems,Mexico,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),110,83.47,2.00,0.00,85.47,USD,100205,2025-04-09,2025-04-06,110
PO-202503-0201,2025-03-02,Pacific Rim Tooling,Vietnam,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,65,88.31,7.15,5.48,100.94,USD,100959,2025-04-09,2025-04-06,65
PO-202503-0202,2025-03-02,Anhui Precision Fittings,China,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,307,9.99,0.78,1.25,12.02,USD,100571,2025-04-24,2025-04-21,307
PO-202503-0203,2025-03-03,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,9,284.34,0.00,0.00,284.34,USD,100205,2025-03-20,2025-03-19,9
PO-202503-0204,2025-03-04,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,129,101.31,0.00,0.00,101.31,USD,100047,2025-03-23,2025-03-28,129
PO-202503-0205,2025-03-04,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,104,65.64,1.58,0.00,67.22,USD,100117,2025-04-12,2025-04-09,104
PO-202503-0206,2025-03-05,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,406,7.34,0.62,0.43,8.39,USD,100349,2025-05-17,2025-05-24,406
PO-202503-0207,2025-03-06,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,454,19.54,0.00,0.00,19.54,USD,100812,2025-03-23,2025-03-23,454
PO-202503-0208,2025-03-07,Kotara Steel Products,India,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),11,548.26,46.05,31.80,626.11,USD,100117,2025-05-19,2025-05-19,11
PO-202503-0209,2025-03-10,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2087,1.58,0.13,0.09,1.80,USD,100205,2025-05-22,2025-05-22,2087
PO-202503-0210,2025-03-10,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),62,74.57,6.04,4.62,85.23,USD,100649,2025-04-17,2025-04-21,62
PO-202503-0211,2025-03-11,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,15,282.35,0.00,0.00,282.35,USD,100959,2025-03-28,2025-04-02,15
PO-202503-0212,2025-03-11,Thermaline Systems,Mexico,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1673,1.72,0.04,0.00,1.76,USD,100349,2025-04-19,2025-04-19,1673
PO-202503-0213,2025-03-11,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2800,4.78,0.00,0.00,4.78,USD,100349,2025-04-23,2025-04-27,2800
PO-202503-0214,2025-03-12,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1609,6.86,0.16,0.00,7.02,USD,100117,2025-04-20,2025-04-22,1609
PO-202503-0215,2025-03-12,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,7,460.30,38.67,26.70,525.67,USD,100571,2025-05-24,2025-06-01,7
PO-202503-0216,2025-03-15,Kotara Steel Products,India,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),158,25.48,2.14,1.48,29.10,USD,100047,2025-05-27,2025-05-26,158
PO-202503-0217,2025-03-17,Nordflow Valve Works,Germany,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),112,27.14,1.38,0.73,29.25,USD,100933,2025-04-14,2025-04-11,112
PO-202503-0218,2025-03-18,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1937,7.31,0.00,0.00,7.31,USD,100812,2025-04-30,2025-04-29,1937
PO-202503-0219,2025-03-19,Larsen Brass & Bronze,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,12,295.32,0.00,0.00,295.32,USD,100117,2025-04-07,2025-04-04,11
PO-202503-0220,2025-03-19,Pacific Rim Tooling,Vietnam,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,351,17.16,1.39,1.06,19.61,USD,100349,2025-04-26,2025-04-23,351
PO-202503-0221,2025-03-21,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,375,10.61,0.54,0.29,11.44,USD,100933,2025-04-18,2025-04-18,327
PO-202503-0222,2025-03-22,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1998,1.53,0.13,0.09,1.75,USD,100649,2025-06-03,2025-06-14,1998
PO-202503-0223,2025-03-22,Anhui Precision Fittings,China,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,452,7.09,0.55,0.89,8.53,USD,100933,2025-05-14,2025-05-14,452
PO-202503-0224,2025-03-23,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,44,100.03,0.00,0.00,100.03,USD,100933,2025-04-11,2025-04-11,44
PO-202503-0225,2025-03-24,Gulf States Polymer,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,1532,2.32,0.00,0.00,2.32,USD,100959,2025-05-06,2025-05-04,1532
PO-202503-0226,2025-03-25,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2916,2.33,0.00,0.00,2.33,USD,100117,2025-04-13,2025-04-13,2676
PO-202503-0227,2025-03-25,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),9,571.43,29.14,15.43,616.00,USD,100571,2025-04-22,2025-04-22,9
PO-202503-0228,2025-03-25,Kotara Steel Products,India,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),133,25.45,2.14,1.48,29.07,USD,100812,2025-06-06,2025-06-04,133
PO-202503-0229,2025-03-25,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,14,1433.71,34.41,0.00,1468.12,USD,100349,2025-05-03,2025-05-08,14
PO-202504-0230,2025-04-01,Anhui Precision Fittings,China,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,1359,2.01,0.16,0.25,2.42,USD,100959,2025-05-24,2025-05-27,1359
PO-202504-0231,2025-04-01,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,359,7.57,0.64,0.44,8.65,USD,100205,2025-06-13,2025-06-13,359
PO-202504-0232,2025-04-02,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,466,20.08,0.00,0.00,20.08,USD,100117,2025-04-19,2025-04-18,466
PO-202504-0233,2025-04-02,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2071,4.85,0.00,0.00,4.85,USD,100349,2025-05-15,2025-05-21,2071
PO-202504-0234,2025-04-04,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,115,101.58,0.00,0.00,101.58,USD,100649,2025-04-23,2025-04-20,115
PO-202504-0235,2025-04-04,Kotara Steel Products,India,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),76,25.84,2.17,1.50,29.51,USD,100117,2025-06-16,2025-06-13,69
PO-202504-0236,2025-04-05,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2040,4.90,0.00,0.00,4.90,USD,100812,2025-05-18,2025-05-15,2040
PO-202504-0237,2025-04-05,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),113,78.44,6.35,4.86,89.65,USD,100571,2025-05-13,2025-05-16,113
PO-202504-0238,2025-04-06,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,11,279.82,0.00,0.00,279.82,USD,100117,2025-04-23,2025-04-28,11
PO-202504-0239,2025-04-08,Kotara Steel Products,India,HRD900003,2 IN STAINLESS PRESS COUPLING 316L (NEW SKU),145,25.20,2.12,1.46,28.78,USD,100205,2025-06-20,2025-06-18,145
PO-202504-0240,2025-04-09,Anhui Precision Fittings,China,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1061,1.49,0.12,0.19,1.80,USD,100933,2025-06-01,2025-05-30,1061
PO-202504-0241,2025-04-09,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,15,511.70,12.28,0.00,523.98,USD,100571,2025-05-18,2025-05-18,15
PO-202504-0242,2025-04-09,Larsen Brass & Bronze,USA,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,327,11.56,0.00,0.00,11.56,USD,100959,2025-04-28,2025-05-08,327
PO-202504-0243,2025-04-09,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),10,585.60,29.87,15.81,631.28,USD,100959,2025-05-07,2025-05-14,10
PO-202504-0244,2025-04-09,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),98,76.63,6.21,4.75,87.59,USD,100933,2025-05-17,2025-05-17,98
PO-202504-0245,2025-04-10,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,19,289.82,0.00,0.00,289.82,USD,100649,2025-04-27,2025-05-06,19
PO-202504-0246,2025-04-13,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,10,463.73,38.95,26.90,529.58,USD,100205,2025-06-25,2025-06-23,10
PO-202504-0247,2025-04-13,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,11,1446.61,34.72,0.00,1481.33,USD,100205,2025-05-22,2025-05-21,11
PO-202504-0248,2025-04-14,Anhui Precision Fittings,China,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,1750,1.96,0.15,0.25,2.36,USD,100649,2025-06-06,2025-06-03,1750
PO-202504-0249,2025-04-17,Pacific Rim Tooling,Vietnam,HRD900002,SMART THERMOSTAT WIFI 24V C-WIRE (NEW SKU),137,76.12,6.17,4.72,87.01,USD,100649,2025-05-25,2025-05-24,137
PO-202504-0250,2025-04-18,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),12,583.43,29.75,15.75,628.93,USD,100812,2025-05-16,2025-05-15,12
PO-202504-0251,2025-04-19,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,1716,2.45,0.00,0.00,2.45,USD,100933,2025-05-08,2025-05-10,1716
PO-202504-0252,2025-04-20,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1462,1.58,0.13,0.09,1.80,USD,100571,2025-07-02,2025-06-30,1462
PO-202504-0253,2025-04-20,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,92,66.11,0.00,0.00,66.11,USD,100959,2025-06-02,2025-06-02,92
PO-202504-0254,2025-04-20,Nordflow Valve Works,Germany,HRD900001,6 IN DUCTILE IRON MJ GATE VALVE (NEW SKU),10,600.62,30.63,16.22,647.47,USD,100047,2025-05-18,2025-05-18,9
PO-202504-0255,2025-04-20,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,12,1508.79,36.21,0.00,1545.00,USD,100812,2025-05-29,2025-05-27,12
PO-202504-0256,2025-04-21,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,384,7.48,0.63,0.43,8.54,USD,100933,2025-07-03,2025-07-01,384
PO-202504-0257,2025-04-23,Larsen Brass & Bronze,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,16,281.81,0.00,0.00,281.81,USD,100933,2025-05-12,2025-05-12,16
PO-202504-0258,2025-04-23,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2294,1.53,0.13,0.09,1.75,USD,100205,2025-07-05,2025-07-05,2294
PO-202504-0259,2025-04-23,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,16,1461.88,35.09,0.00,1496.97,USD,100349,2025-06-01,2025-06-01,16
PO-202504-0260,2025-04-24,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2555,7.00,0.00,0.00,7.00,USD,100649,2025-06-06,2025-06-06,2555
PO-202504-0261,2025-04-25,Larsen Brass & Bronze,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,448,20.01,0.00,0.00,20.01,USD,100959,2025-05-14,2025-05-11,448
PO-202504-0262,2025-04-25,Thermaline Systems,Mexico,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2037,4.57,0.11,0.00,4.68,USD,100047,2025-06-03,2025-05-31,2037
PO-202505-0263,2025-05-01,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1925,7.32,0.00,0.00,7.32,USD,100649,2025-06-13,2025-06-13,1925
PO-202505-0264,2025-05-01,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,353,10.83,0.55,0.29,11.67,USD,100649,2025-05-29,2025-05-28,353
